location,city,province,lat,lon,type
Silay,Silay,,10.7994126,122.9756149,city
Pasig,Pasig,,14.5605166,121.0764343,city
Palayan,Palayan,,15.5408666,121.0842988,city
San Carlos,San Carlos,,10.486048,123.4190385,city
Dipolog,Dipolog,,8.5864062,123.3449371,city
Dapitan,Dapitan,,8.6549449,123.4243754,city
Pagadian,Pagadian,,7.8249717,123.4365816,city
Zamboanga City,Zamboanga City,,6.9046876,122.0764868,city
"Ozamiz, Misamis Occidental",Ozamiz,Misamis Occidental,8.1470175,123.8459793,city
Roxas,Roxas,,11.5895171,122.7500577,city
Marawi,Marawi,,8.0047262,124.2854351,city
Oroquieta,Oroquieta,,8.4858864,123.8077767,city
Butuan,Butuan,,8.9474561,125.5431973,city
Talisay,Talisay,,7.7417843,123.4694597,city_block
Cosme Compound,Cosme Compound,,14.2909104,121.4588741,city_block
Jetlane Village,Jetlane Village,,14.5099224,121.0068643,city_block
Doña Candida Compound,Doña Candida Compound,,14.6814488,121.0113144,city_block
Pingki-an 2,Pingki-an 2,,14.6804788,121.0585421,city_block
Pingki-an 1,Pingki-an 1,,14.6810016,121.0552277,city_block
Baguio,Baguio,,16.4119905,120.5933719,city
Canlaon,Canlaon,,10.386953,123.2186238,city
Cadiz,Cadiz,,10.956652,123.3057034,city
De Borja,De Borja,,14.5420105,121.0708664,city_block
Villa Petra Park Homes,Villa Petra Park Homes,,14.4658397,120.9896795,city_block
Block 4,Block 4,,14.592202,120.9610216,city_block
Block 5,Block 5,,14.8084714,121.0202317,city_block
Block 6,Block 6,,14.8079122,121.0216818,city_block
Block 7,Block 7,,14.80761,121.0200104,city_block
Block 8,Block 8,,14.808135,121.0215572,city_block
Block 9,Block 9,,16.4328565,120.5848861,city_block
Iloilo City,Iloilo City,,10.6932884,122.5732604,city
Phase 1,Phase 1,,7.1099008,125.5928151,city_block
Phase 2,Phase 2,,7.113053,125.5968348,city_block
Luna Compound,Luna Compound,,14.5479092,121.0764268,city_block
Sabang,Sabang,,14.2571066,121.820414,city_block
Phase 2B,Phase 2B,,7.1117858,125.5954905,city_block
Phase 4,Phase 4,,7.1132026,125.5941086,city_block
Phase 3,Phase 3,,7.1095944,125.5912737,city_block
Bais,Bais,,9.5914852,123.1213875,city
"Baybay, Leyte",Baybay,Leyte,10.6778023,124.7977531,city
Boruya,Boruya,,13.3929,121.1205,city_block
Calbayog,Calbayog,,12.0669758,124.5946412,city
Bogo,Bogo,,11.0512735,124.0035064,city
Social Development Complex,Social Development Complex,,14.6416892,121.077966,city_block
Villa Grande Homes Phase 4,Villa Grande Homes Phase 4,,13.6163007,123.2248174,city_block
Santa Margarita,Santa Margarita,,10.3730282,124.7494029,city_block
Marangog,Marangog,,10.3739411,124.7491048,city_block
Tablon,Tablon,,14.5998948,121.3443857,city_block
Silangan,Silangan,,14.8320892,120.6012956,city_block
Sumulong,Sumulong,,14.6209767,121.1831505,city_block
"Gingoog, Misamis Oriental",Gingoog,Misamis Oriental,8.8232748,125.1012978,city
Georgetown Heights Phase 2 & 3,Georgetown Heights Phase 2 & 3,,14.3732553,120.9858439,city_block
Landheights Subdivision Phase II,Landheights Subdivision Phase II,,10.6860152,122.5197275,city_block
Landheights Subdivision Phase I,Landheights Subdivision Phase I,,10.6854664,122.5223392,city_block
Villa Carolina,Villa Carolina,,10.6842939,122.519925,city_block
J. J. Carlos Pag-ibig Subdivision,J. J. Carlos Pag-ibig Subdivision,,14.6548404,121.1157773,city_block
Iriga,Iriga,,13.4222626,123.4129406,city
Centro,Centro,,15.4366027,119.9199249,city_block
Kanluran,Kanluran,,14.831838,120.60024,city_block
Mabalacat,Mabalacat,,15.2250826,120.5733815,city
"General Santos, South Cotabato",General Santos,South Cotabato,6.1122217,125.1721893,city
Mapayapa,Mapayapa,,14.6185999,121.1778106,city_block
Water Lily,Water Lily,,10.3919169,123.9761341,city_block
GHQ Village,GHQ Village,,14.5196481,121.0592063,city_block
Sitio Pulo,Sitio Pulo,,14.4300747,121.0000625,city_block
Iligan,Iligan,,8.2281556,124.2411508,city
